date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
1177_CS3.lma,688.0086,0,no,751,1550,1667,751,1333,15,474,0.48,-0.03,201,661,728,1550,3147,634,1406,1573,1550,0.55,1,1597,0.19,0.33
1180_CS3.lma,720.009,0,no,1010,1174,1644,892,1449,7,125,0.16,-0.07,132,652,1010,775,3264,775,1458,1597,1010,0.54,0,1644,0.18,0.42
1181_CS1.lma,930.6783,0,no,1057,845,1620,798,1446,18,366,0.57,0.03,148,743,540,845,1620,446,1417,1620,845,0.64,1,775,0.2,0.36
1183_CS1.lma,570.6738,0,no,775,658,1479,658,1062,13,132,0.72,0.05,159,522,775,658,2489,658,1234,1104,658,0.31,1,1292,0.27,0.38
1185_CS3.lma,880.011,0,no,658,775,798,399,682,5,160,0.04,-0.03,78,242,658,775,1526,352,713,798,775,0.16,1,751,0.2,0.53
1188_CS1.lma,754.6761,0,no,892,1080,1550,751,1206,27,470,0.72,0.06,135,620,329,1080,1550,305,1137,1362,1080,0.8,1,611,0.21,0.43
1194_CS3.lma,538.6734,0,no,869,705,1409,705,1274,9,249,0.25,0.01,132,591,869,705,1409,705,1274,1339,705,0.22,1,611,0.21,0.43
1197_CS1.lma,469.3392,0,no,798,611,916,470,716,9,174,0.34,-0.01,125,270,798,611,1198,470,736,587,798,0.79,0,587,0.15,0.23
1201_CS2.lma,1005.3459,0,no,728,751,1362,728,1244,7,188,0.35,0.01,108,516,728,751,2630,728,1282,751,2607,0.02,0.84,1315,0.16,0.27
1203_CS1.lma,1104.0138,0,no,775,1292,1526,775,1256,9,150,0.58,0.04,146,540,775,658,2654,658,1334,1174,658,0.34,1,1339,0.17,0.4
1204_CS1.lma,424.0053,0,no,470,446,540,446,503,2,23,0.41,0.01,17,73,470,986,1033,446,628,1033,986,0.71,1,540,0.18,0.43
1205_CS2.lma,949.3452,0,no,611,822,1010,611,863,5,42,0.65,0.01,52,208,611,822,1902,611,888,845,822,0.89,1,1057,0.09,0.33
1209_CS1.lma,568.0071,0,no,751,705,1362,540,1034,15,263,0.54,0.06,157,469,751,705,1362,540,1034,1221,705,0.46,1,399,0.17,0.26
1213_CS2.lma,773.343,0,no,658,1174,1245,658,1076,12,344,0.92,-0.02,75,473,611,1174,1245,517,1056,1127,1174,0.59,1,540,0.27,0.52
1215_CS2.lma,746.676,0,no,564,517,916,470,591,7,178,0.83,0.01,63,302,564,1057,1057,470,634,564,1057,0.46,1,446,0.11,0.21
1218_CS1.lma,997.3458,0,no,939,1080,1174,540,973,13,352,0.14,0.03,120,477,305,1080,2114,305,971,564,305,0.09,0,1080,0.15,0.45
1222_CS2.lma,845.3439,0,no,540,775,939,540,801,9,268,0.04,0.01,43,242,540,775,1620,540,821,728,540,0.08,0,798,0.11,0.3
1231_CS3.lma,733.3425,0,no,939,1432,1526,751,1296,16,310,0.11,0.04,193,602,939,1432,1526,728,1293,1456,939,0.46,0,798,0.2,0.42
