date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
KSK165_SN_CS2.lma,1232.0154,0,no,798,658,1174,658,1087,2,52,0.1,-0.02,59,373,282,658,5730,282,1961,963,282,0.93,0,3476,0.19,0.39
KSK166_SN_CS2.lma,1202.6817,0,no,564,1033,1127,564,954,4,66,0.4,0.02,55,264,564,3076,4509,564,1532,798,3076,0.1,1,3429,0.24,0.4
KSK167_SN_CS1.lma,896.0112,0,no,681,1080,1080,540,906,5,155,0.55,0.07,59,290,681,3217,4297,540,1026,705,3217,0.26,1,3311,0.26,0.53
KSK168_SN_CS2.lma,1408.0176,0,no,540,751,963,540,828,3,66,0.48,0,93,314,540,751,3734,540,1391,681,728,0.05,0.96,2795,0.21,0.56
KSK169_SN_CS2.lma,1250.6823,0,no,892,963,1127,658,1052,3,147,0.29,0,61,389,892,963,4462,658,1968,869,963,0.02,1,3335,0.3,0.46
KSK170_SN_CS1.lma,874.6776,0,no,587,1080,1386,587,939,14,319,0.35,0.05,126,506,352,2184,2231,352,998,775,352,0.44,0,1127,0.32,0.63
KSK172_SN_CS1.lma,538.6734,0,no,705,305,775,305,547,10,169,0.09,-0.04,71,257,705,305,1526,305,969,963,305,0.58,1,1221,0.3,0.66
KSK184_SN_CS1.lma,949.3452,0,no,798,1127,1362,611,970,8,521,0.25,0.05,59,501,282,1127,1362,282,929,916,282,0.41,0,705,0.2,0.4
KSK190_SN_CS2.lma,1272.0159,0,no,822,1010,1456,728,1211,9,235,0.29,-0.03,112,655,423,282,5425,282,2657,3640,282,0.07,1,3076,0.35,0.62
KSK191_FU_CS2.lma,1032.0129,0,no,845,822,963,728,826,6,75,0.76,0,47,128,845,822,1550,728,828,822,845,0.1,0,775,0.19,0.52
KSK195_FU_CS2.lma,842.6772,0,no,845,751,1198,751,1104,2,19,0.42,0.01,83,372,845,751,1198,751,1104,869,751,0.03,1,47,0.19,0.34
KSK201_FU_CS1.lma,877.3443,0,no,1010,986,1292,705,1116,9,178,0.67,0.05,72,465,1010,986,2583,282,1130,1268,986,0.74,1,1315,0.26,0.42
