date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,100,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
KSK534_FU_BE1.lma,328.0041,0,no,235,188,352,188,270,6,47,0.13,0,32,89,94,94,6247,94,536,305,6247,0.61,0.15,6153,0.53,0.8
KSK554_SN_BE3.lma,394.6716,0,no,188,235,517,188,264,7,103,0.94,0.03,26,202,94,235,376,94,233,282,235,0.63,1,211,0.75,0.9
KSK559_SN_BE2.lma,285.3369,0,no,376,517,517,282,371,10,89,0.77,0.04,50,137,2841,611,6364,282,1017,728,2841,0.55,0,6012,0.63,0.77
MTB001_SL_BE2.lma,472.0059,0,no,211,305,517,211,306,8,141,0.03,0.02,36,255,94,305,6270,94,759,822,94,0.78,0,6176,0.58,0.78
MTB020_SL_BE5.lma,322.6707,0,no,305,211,329,188,296,3,56,0.37,0,38,103,141,211,6669,141,481,329,141,0.51,0,6434,0.29,0.54
MTB022_SL_BE2.lma,352.0044,0,no,235,282,305,211,254,4,47,0.85,0.02,21,65,235,94,305,94,249,258,235,0.75,0,117,0.29,0.47
MTB023_SL_BE4.lma,336.0042,0,no,188,305,329,188,290,6,47,0.48,0.01,25,89,117,305,329,94,283,258,117,0.2,0,164,0.25,0.49
MTB025_FU_BE3.lma,280.0035,0,no,329,329,399,282,342,4,19,0.57,0.02,22,54,329,329,399,282,342,352,329,0.34,0,47,0.2,0.44
MTB026_FU_BE3.lma,312.0039,0,no,305,305,352,211,313,5,56,0.29,0.01,30,107,305,305,352,211,313,258,305,0.14,0,117,0.34,0.61
MTB028_FU_BE3.lma,293.337,0,no,282,282,376,235,312,4,19,0.41,0,44,78,282,282,376,235,312,305,282,0.26,1,47,0.22,0.48
MTB030_FU_BE3.lma,274.6701,0,no,282,352,399,235,312,10,47,0.48,0.02,35,88,282,352,352,94,229,305,282,0.24,0,235,0.37,0.61
MTB031_FU_BE3.lma,309.3372,0,no,282,376,376,258,321,3,19,1,0.02,24,60,282,376,376,258,321,329,376,0.28,1,47,0.33,0.63
MTB032_FU_BE3.lma,226.6695,0,no,211,211,352,211,303,4,16,0.43,0,34,92,211,211,352,211,303,305,211,0.79,1,23,0.32,0.6
MTB036_GIM_BE7.lma,112.0014,0,no,376,517,517,211,372,29,94,0.95,0.14,77,132,1057,1198,1245,869,1136,1245,1198,0.24,1,376,0.35,0.65
MTB050_SN_BE4.lma,400.005,0,no,258,211,517,188,230,9,132,0.02,-0.02,49,263,94,94,1033,94,214,164,399,0.13,0.95,751,0.4,0.72
MTB054_SL_BE1.lma,362.6712,0,no,352,305,352,188,292,5,75,0,0,27,100,986,305,986,188,382,305,188,0.53,0.14,775,0.14,0.3
MTB122_SL_BE2.lma,381.3381,0,no,211,211,352,188,258,6,85,0.87,0,28,95,211,211,352,94,249,282,211,0.49,0,164,0.3,0.62
MTB124_SN_BE3.lma,296.0037,0,no,329,329,376,282,342,3,12,0.56,0.02,20,55,329,329,376,282,342,352,329,0.39,0,23,0.14,0.48
MTB125_SN_BE3.lma,296.0037,0,no,305,352,352,235,286,3,38,0.98,0,14,60,94,352,352,94,277,282,305,0.22,0.05,211,0.15,0.51
MTB126_SN_BE4.lma,416.0052,0,no,188,188,470,188,261,9,117,0.91,0,33,209,94,94,470,94,238,282,164,0.65,0.93,329,0.24,0.63
MTB128_FU_BE3.lma,272.0034,0,no,305,399,493,235,384,8,52,0.42,0.05,70,135,305,399,493,235,384,282,305,0.15,0,141,0.23,0.39
