date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,100,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
1249_BE5.lma,341.3376,0,no,305,564,564,282,433,14,117,0.07,0.03,107,170,869,564,2513,493,684,540,869,0.77,0,1973,0.16,0.34
1265_BE10.lma,277.3368,0,no,282,305,305,211,281,4,38,0.05,0.01,15,63,282,305,305,211,281,305,305,0.49,0.13,94,0.23,0.44
1268_BE2.lma,386.6715,0,no,329,282,376,211,252,5,61,0.1,0,38,117,329,282,376,94,233,235,376,0.4,0.1,211,0.26,0.5
1269_BE.lma,282.6702,0,no,329,446,446,258,342,8,66,1,0.01,29,91,611,446,916,258,387,329,611,0.39,0,540,0.22,0.48
1273_BE3.lma,306.6705,0,no,282,329,329,235,306,5,38,0.04,0.01,23,62,282,329,329,235,306,282,282,0.25,0,94,0.23,0.46
1296_2_BE3.lma,304.0038,0,no,211,235,235,211,221,1,12,0.24,0,11,14,211,658,658,188,224,235,658,0.35,1,470,0.36,0.68
1306_BE6.lma,237.3363,0,no,258,258,282,211,249,3,19,0.08,0,16,37,258,258,282,211,249,258,258,0.61,0,47,0.72,0.94
1322_BE2.lma,229.3362,0,no,211,211,258,211,229,2,9,0.85,0.01,9,29,94,164,1151,94,241,235,164,0.53,1,1010,0.18,0.49
1326_BE4.lma,232.0029,0,no,235,258,305,211,253,4,38,0.13,0.01,13,61,235,258,305,211,253,258,235,0.48,0,94,0.22,0.42
1327_BE1.lma,365.3379,0,no,564,305,564,235,329,7,108,0,-0.02,49,202,869,305,916,235,403,282,305,0.29,1,681,0.18,0.44
1329_BE2.lma,224.0028,0,no,564,329,564,235,353,11,127,0,-0.02,67,194,587,634,658,235,436,329,658,0.49,0.88,376,0.21,0.38
1333_BE2.lma,392.0049,0,no,305,352,423,235,343,6,38,0.63,0.02,35,90,305,352,1174,235,371,305,352,0.32,1,845,0.15,0.42
1342_BE1.lma,384.0048,0,no,282,282,282,258,277,1,9,0,0,8,22,282,282,282,258,277,282,282,0.69,1,23,0.25,0.63
1349_BE2.lma,288.0036,0,no,258,329,352,258,311,2,9,0.52,0.02,21,54,258,329,352,258,311,329,329,0.47,1,23,0.21,0.47
1353_2_BE3.lma,296.0037,0,no,235,235,258,235,251,1,9,0.2,0,9,22,235,235,258,235,251,258,235,0.43,1,23,0.92,0.98
1353_BE2.lma,325.3374,0,no,423,352,423,282,334,4,38,0,-0.01,31,76,869,352,869,282,375,352,869,0.69,0,493,0.39,0.65
1363_BE2.lma,218.6694,0,no,258,470,564,211,306,12,178,0.89,0.06,20,213,94,1644,2677,94,615,305,1644,0.46,1,1268,0.32,0.58
1367_BE2.lma,338.6709,0,no,211,282,305,211,274,1,9,0.52,0.02,16,31,211,282,305,211,274,282,282,0.48,1,23,0.48,0.73
1371_BE3.lma,317.3373,0,no,258,211,305,211,258,3,47,0.1,0,25,52,258,94,305,94,247,235,94,0.27,1,141,0.29,0.5
1406_BE3.lma,333.3375,0,no,282,235,376,211,235,4,66,0.8,0.02,27,121,164,235,282,164,213,235,235,0.31,1,94,0.27,0.54
1429_BE4.lma,232.0029,0,no,258,329,329,258,289,2,19,0.98,0.02,16,42,258,329,329,258,289,305,329,0.6,1,47,0.21,0.4
1444_BE5.lma,296.0037,0,no,211,235,258,211,229,2,12,0.54,0.01,13,29,188,235,258,188,227,235,188,0.49,0,47,0.61,0.88
1499_BE1.lma,381.3381,0,no,423,423,493,235,354,8,132,0.06,0.01,37,147,564,423,775,235,477,751,376,0.53,0.91,493,0.79,0.97
1575_BE4.lma,290.6703,0,no,329,376,376,188,267,5,80,0.94,0.01,45,95,329,376,728,211,275,211,329,0.26,0,423,0.4,0.63
1626_BE2.lma,210.6693,0,no,305,188,305,188,283,4,38,0,0,20,91,634,188,634,188,287,282,188,0.41,1,329,0.21,0.45
1627_BE3.lma,384.0048,0,no,376,282,493,188,278,11,207,0.08,-0.02,48,194,10239,10239,10239,211,2769,258,10239,0.41,0,10027,0.91,0.96
1649_BE8.lma,168.0021,0,no,352,258,352,258,299,6,47,0,0.01,26,60,705,728,728,258,441,282,705,0.58,0,423,0.18,0.41
1653_BE.lma,248.0031,0,no,493,329,493,282,369,9,80,0,-0.05,38,137,1362,94,1386,94,661,305,1362,0.27,0,939,0.21,0.52
